ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,distance_meters,order_Drinks,order_Meal,order_Snack,vehicle_electric_scooter,vehicle_motorcycle,vehicle_scooter,Time_taken_min
4607,INDORES13DEL02,37,4.9,3025.1492856773802,0,0,1,0,1,0,24
B379,BANGRES18DEL02,34,4.5,20183.529728732872,0,0,1,0,0,1,33
5D6D,BANGRES19DEL01,23,4.4,1552.757802255354,1,0,0,0,1,0,26
7A6A,COIMBRES13DEL02,38,4.7,7790.401360105807,0,0,0,0,1,0,21
70A2,CHENRES12DEL01,32,4.6,6210.137965623703,0,0,1,0,0,1,30
9BB4,HYDRES09DEL03,22,4.8,4610.365144356333,0,0,0,0,1,0,26
95B4,RANCHIRES15DEL01,33,4.7,16600.361127913082,0,1,0,0,0,1,40
9EB2,MYSRES15DEL02,35,4.6,20205.25323529313,0,1,0,0,1,0,32
1102,HYDRES05DEL02,22,4.8,19975.52008622187,0,0,0,0,1,0,34
CDCD,DEHRES17DEL01,36,4.2,10280.582064622464,0,0,1,0,1,0,46
D987,KOCRES16DEL01,21,4.7,6242.318682700942,0,1,0,0,1,0,23
2784,PUNERES13DEL03,23,4.7,13787.860239172238,1,0,0,0,0,1,21
C8B6,LUDHRES15DEL02,34,4.3,2930.257800762021,0,0,0,0,1,0,20
DB64,KNPRES14DEL02,24,4.7,19396.61829066188,0,0,1,0,0,1,41
3AF3,MUMRES15DEL03,29,4.5,13763.977224427299,0,0,0,1,0,0,20
3AAB,MYSRES01DEL01,35,4.0,6218.001190187312,0,1,0,0,0,1,33
689B,PUNERES20DEL01,33,4.2,16849.939918016942,0,0,1,0,1,0,40
6F67,HYDRES14DEL01,34,4.9,10757.108800258175,0,0,1,0,1,0,41
C9CF,KOLRES15DEL03,21,4.7,4540.574388730574,0,1,0,0,1,0,15
36B8,PUNERES19DEL02,25,4.1,12256.07644546856,0,0,1,0,1,0,36
5795,RANCHIRES06DEL02,31,4.7,19618.73934880106,0,1,0,1,0,0,26
6C6B,COIMBRES13DEL01,37,5.0,1558.1322655562496,0,0,1,0,1,0,20
B816,CHENRES19DEL02,33,4.3,20180.635114113968,0,1,0,0,0,1,39
539B,MUMRES02DEL01,25,4.0,6116.971669681921,0,0,0,0,1,0,34
A1B2,CHENRES01DEL01,29,4.5,17075.594401072463,0,1,0,1,0,0,15
3231,JAPRES16DEL03,27,5.0,4470.28648943395,0,0,1,0,1,0,18
